id,hasProblem,avgCycle,lanes,avgTimes
53119471,False,59,"[':53119471_w2_0', '70133947#0_1', '-6375772#1_0', '465971496_2', ':53119471_w1_0', '465971496_1']","[23.0, 27.0, 27.0, 23.0, 27.0, 23.0]"
53119474,True,3600,"[':53119474_w2_0', ':53119474_w3_0', ':53119474_w1_0', '-37551509_1', '6502970#6_1', '22927967_1', '22927967_2', '332946376#1_1', ':53119474_w0_0']","[13.0, 13.0, 13.0, 0, 0, 13.0, 13.0, 0, 0]"
53128144,False,69,"['6522895_3', '6522895_1', '378845730_1', ':53128144_w1_0', '-332200726_1', ':53128144_w3_0', ':53128144_w0_0', '6522895_2', '378845730_2', ':53128144_w2_0', '-332200726_2']","[22.0, 22.0, 38.0, 38.0, 38.0, 38.0, 22.0, 22.0, 38.0, 22.0, 38.0]"
53128145,True,3600,"['428247162_1', '-235036846#0_2', '-8111488#0_1', '-235036846#0_1', '428247162_2']","[0, 42.0, 42.0, 42.0, 42.0]"
53128666,False,87,"[':53128666_w0_0', '428230587_4', ':53128666_w3_0', '428230587_3', ':53128666_w2_0', '428230587_1', '428230587_2', '462696713#3_1', '-531922150#1_1', ':53128666_w1_0']","[20.0, 59.0, 59.0, 59.0, 20.0, 59.0, 59.0, 20.0, 20.0, 59.0]"
53128667,False,87,"[':53128667_w1_0', '621283286#0_1', ':53128667_w2_0', ':53128667_c0_0', 'gneE407_4', '621283286#0_2', '53100926#2_1', '621283286#0_3', ':53128667_w0_0', ':53128667_c3_0', 'gneE407_3', ':53128667_c2_0', ':53128667_w3_0', ':53128667_c1_0', 'gneE407_1', 'gneE407_2']","[20.0, 20.0, 20.0, 60.0, 60.0, 20.0, 20.0, 20.0, 0, 0, 60.0, 0, 0, 60.0, 60.0, 60.0]"
53128668,False,45,"[':53128668_c1_0', '-295939847_2', '428245585.24_2', '-295939847_1', '428245585.24_3', ':53128668_w0_0', '-295939847_3', ':53128668_c0_0', ':53128668_w2_0', '-127697547#0.93_2', '428245585.24_0', '-127697547#0.93_1', '428245585.24_1', '-127697547#0.93_3']","[0, 21.0, 17.0, 21.0, 18.0, 0, 7.0, 7.0, 0.0, 7.0, 17.0, 7.0, 17.0, 7.0]"
53128671,False,87,"['620762201_4', '620762201_1', '428246462_3', '428246448#1_2', '428246460_2', '620762201_3', '428246448#1_0', '428246460_1', ':53128671_w1_0', '428246462_1', '428246462_2', '428246448#1_1', '428246448#1_3', '620762201_2', ':53128671_w2_0']","[40.0, 32.0, 40.0, 32.0, 40.0, 32.0, 32.0, 32.0, 27.0, 32.0, 32.0, 32.0, 40.0, 32.0, 27.0]"
53129297,False,87,"['-53100926#1_1', '61032261#3_1', '-456870925#0_1', ':53129297_w3_0', ':53129297_w1_0', '-245265799#0_1', ':53129297_w2_0', '61032261#3_2', ':53129297_w0_0']","[20.0, 60.0, 20.0, 60.0, 60.0, 60.0, 20.0, 60.0, 20.0]"
53129446,False,87,"[':53129446_w1_0', ':53129446_w2_0', ':53129446_w0_0', '428246432_1', '-428098981_1', ':53129446_w3_0', '-171739214#4_1', '428246432_2', '171739214#3_1']","[31.0, 32.0, 32.0, 37.0, 45.0, 31.0, 36.0, 45.0, 36.0]"
